"Pvalue","correlation","name","method"
"immune score_xCell",8.17943655432998e-08,0.234061686460267,"immune score_xCell","xCell"
"stroma score_xCell",1.76304433669994e-05,-0.18830017273209,"stroma score_xCell","xCell"
"microenvironment score_xCell",0.0414262556393949,0.0900712137421438,"microenvironment score_xCell","xCell"
"B cell_EPIC",0.16523014782339,0.0613601390746057,"B cell_EPIC","EPIC"
"Cancer associated fibroblast_EPIC",0.326654952693329,0.0433920887655666,"Cancer associated fibroblast_EPIC","EPIC"
"T cell CD4+_EPIC",0.0043373121612084,0.125748625480216,"T cell CD4+_EPIC","EPIC"
"T cell CD8+_EPIC",0.245543123857241,0.0513615737406962,"T cell CD8+_EPIC","EPIC"
"Endothelial cell_EPIC",0.000480577386880322,-0.153606034428596,"Endothelial cell_EPIC","EPIC"
"Macrophage_EPIC",0.00367431986576376,0.128036243123159,"Macrophage_EPIC","EPIC"
"NK cell_EPIC",0.00187869878756997,0.136942310753265,"NK cell_EPIC","EPIC"
"uncharacterized cell_EPIC",0.207801617647341,-0.0557068740862223,"uncharacterized cell_EPIC","EPIC"
"B cell_TIME",0.00945322176289339,0.114483790186974,"B cell_TIME","TIME"
"T cell CD4+_TIME",0.611181523676316,-0.0224979022092085,"T cell CD4+_TIME","TIME"
"T cell CD8+_TIME",1.9179464582157e-07,0.227435116077644,"T cell CD8+_TIME","TIME"
"Neutrophil_TIME",6.23095193121802e-10,0.268670388236113,"Neutrophil_TIME","TIME"
"Macrophage_TIME",0.0384826316550069,0.0914100585517727,"Macrophage_TIME","TIME"
"Myeloid dendritic cell_TIME",4.86059413784491e-08,0.238013207654287,"Myeloid dendritic cell_TIME","TIME"
"B cell naive_cibersort",1.8524256554722e-06,-0.208737161938842,"B cell naive_cibersort","cibersort"
"B cell memory_cibersort",0.571246177628667,-0.0250562944088432,"B cell memory_cibersort","cibersort"
"B cell plasma_cibersort",0.00167400226466034,-0.138422516825952,"B cell plasma_cibersort","cibersort"
"T cell CD8+_cibersort",0.190052617341593,0.0579493423318198,"T cell CD8+_cibersort","cibersort"
"T cell CD4+ naive_cibersort",0.227963003666875,-0.0533217413360603,"T cell CD4+ naive_cibersort","cibersort"
"T cell CD4+ memory resting_cibersort",0.548845385358467,0.0265282365991658,"T cell CD4+ memory resting_cibersort","cibersort"
"T cell CD4+ memory activated_cibersort",5.06715816336966e-10,0.270031122664308,"T cell CD4+ memory activated_cibersort","cibersort"
"T cell follicular helper_cibersort",0.0498235953311262,0.0866496868551131,"T cell follicular helper_cibersort","cibersort"
"T cell regulatory (Tregs)_cibersort",0.146973889109889,-0.0641229752669814,"T cell regulatory (Tregs)_cibersort","cibersort"
"T cell gamma delta_cibersort",0.0197645788540026,0.102884534435721,"T cell gamma delta_cibersort","cibersort"
"NK cell resting_cibersort",0.227679824856673,0.0533541764916364,"NK cell resting_cibersort","cibersort"
"NK cell activated_cibersort",0.138726154217145,-0.0654574977614276,"NK cell activated_cibersort","cibersort"
"Monocyte_cibersort",0.0304952875921377,-0.0955395986024675,"Monocyte_cibersort","cibersort"
"Macrophage M0_cibersort",0.0945068174951049,0.0739038219630648,"Macrophage M0_cibersort","cibersort"
"Macrophage M1_cibersort",0.000926325722336347,0.145801764568918,"Macrophage M1_cibersort","cibersort"
"Macrophage M2_cibersort",0.275002039967334,0.0482856830457441,"Macrophage M2_cibersort","cibersort"
"Myeloid dendritic cell resting_cibersort",0.264105211996739,-0.0493956995009826,"Myeloid dendritic cell resting_cibersort","cibersort"
"Myeloid dendritic cell activated_cibersort",0.118247646968379,0.0690576458346896,"Myeloid dendritic cell activated_cibersort","cibersort"
"Mast cell activated_cibersort",2.20652068414036e-08,-0.243879626067425,"Mast cell activated_cibersort","cibersort"
"Mast cell resting_cibersort",0.628120381117189,-0.0214354719252939,"Mast cell resting_cibersort","cibersort"
"Eosinophil_cibersort",0.715787995660171,-0.016113395306277,"Eosinophil_cibersort","cibersort"
"Neutrophil_cibersort",0.141533832072427,0.0649965429193355,"Neutrophil_cibersort","cibersort"
"B cell naive_cibersort_abs",0.374702071942017,-0.0392735996839526,"B cell naive_cibersort_abs","cibersort_abs"
"B cell memory_cibersort_abs",0.538425499060069,0.0272229258738499,"B cell memory_cibersort_abs","cibersort_abs"
"B cell plasma_cibersort_abs",0.255454887717892,-0.0502994990453134,"B cell plasma_cibersort_abs","cibersort_abs"
"T cell CD8+_cibersort_abs",0.00104050571920948,0.144379254630291,"T cell CD8+_cibersort_abs","cibersort_abs"
"T cell CD4+ naive_cibersort_abs",0.227963003666875,-0.0533217413360603,"T cell CD4+ naive_cibersort_abs","cibersort_abs"
"T cell CD4+ memory resting_cibersort_abs",0.00190847609537161,0.13673942582001,"T cell CD4+ memory resting_cibersort_abs","cibersort_abs"
"T cell CD4+ memory activated_cibersort_abs",2.62186034317034e-09,0.258994708641631,"T cell CD4+ memory activated_cibersort_abs","cibersort_abs"
"T cell follicular helper_cibersort_abs",1.95365464659186e-05,0.187316177163096,"T cell follicular helper_cibersort_abs","cibersort_abs"
