"TP53","CDKN1A","CDKN2A","SIRT1","RB1","TERT","CDK4","CDKN2B","MAPK1","MAPK14","MTOR","TERF2","UBC","CDK6","HMGA2","E2F1","CCNA2","MDM2","CXCL8","HSPA8","LMNB1","MAPK3","MAPKAPK5","ATM","CDKN1B","score"
"TCGA-A8-A06R-01A-11R-A00Z-07",11.1975,62.8524,2.4352,27.6861,32.9824,0.952,28.0074,20.1918,60.82,22.9238,14.4186,12.9602,541.1643,7.1255,0.2237,50.3597,37.3022,14.4179,32.5218,1019.3031,70.4207,50.0617,7.3872,6.7174,59.445,0.461320666266023
"TCGA-A8-A06T-01A-11R-A00Z-07",57.4546,64.4605,2.6846,44.5774,15.7909,0.0859,57.0418,18.1371,86.626,46.3146,30.5847,21.0853,674.8387,3.0636,0.0203,32.3599,16.7549,78.2049,1.068,1457.4922,38.0481,79.1074,16.1772,4.6184,114.0882,0.44064324655634
"TCGA-A8-A06U-01A-11R-A00Z-07",9.2873,36.2413,3.4989,16.4171,24.0383,0.056,74.6694,10.4573,72.2742,33.0411,19.0533,16.2415,681.6042,2.596,0.0953,46.0538,26.3011,18.1613,2.8134,1078.36,51.4996,51.5967,8.4574,4.601,139.4228,0.521387786702797
"TCGA-A8-A06X-01A-21R-A00Z-07",30.9833,98.537,3.1774,26.8183,29.3733,0.1322,48.6352,5.3462,72.2993,31.4776,35.6643,13.3158,857.2651,3.2389,0.0981,37.3253,31.0015,35.8053,0.5824,1636.07,39.3139,180.7089,12.3753,4.685,131.4976,0.581158863724789
"TCGA-A8-A06Y-01A-21R-A00Z-07",84.7153,205.1499,1.2575,23.8847,29.0913,0.0118,36.9244,6.8567,58.0311,31.9441,13.7477,27.908,602.2453,7.1163,0.1019,10.0662,6.9586,43.4052,0.7792,994.3846,14.0807,56.4929,11.6924,6.8714,123.8783,0.354334010774541
"TCGA-A8-A06Z-01A-11R-A00Z-07",7.3744,20.1346,3.2937,21.4565,30.5972,0.0504,52.4498,6.5192,64.5891,18.5985,34.1343,16.8385,778.95,2.8408,0.0371,42.1457,17.6211,19.3575,1.4829,1702.8442,62.5869,94.4589,6.7552,2.5836,171.4753,0.561791331400908
"TCGA-A8-A076-01A-21R-A00Z-07",48.5091,149.5493,2.0014,27.5036,34.6244,0.09,104.5858,14.0997,89.7411,68.31,21.7485,23.8588,792.2942,8.581,0.0459,52.6431,43.2372,25.2542,4.0912,1448.1702,100.8259,84.6245,13.8181,9.2623,116.376,0.645456305042098
"TCGA-A8-A079-01A-21R-A00Z-07",33.2915,38.6403,14.8991,17.3842,14.0261,0.0753,64.7899,32.9061,137.9332,30.7458,19.8833,11.1359,823.9911,1.5144,0.0493,92.7222,76.6986,14.3351,1.992,1073.8911,140.0104,88.5929,9.6662,3.6057,143.5717,0.429497725733088
"TCGA-A8-A07B-01A-11R-A00Z-07",8.5627,26.3719,1.4737,29.9399,25.984,0.086,65.6303,14.5997,128.7956,38.095,24.2892,9.5976,688.7694,3.181,0.0338,18.2096,27.5481,15.0334,4.0914,1629.7815,80.618,14.8765,7.945,5.2568,150.2464,0.554257752321632
"TCGA-A8-A07E-01A-11R-A034-07",60.9249,220.737,2.0204,47.8522,54.8469,0.2708,79.3416,24.0176,117.0656,49.1929,35.1755,14.6482,851.9359,10.6,0.11,34.5838,29.4285,23.7786,3.2588,1228.7706,131.276,73.2199,9.5346,7.8173,231.3855,0.758476079873544
"TCGA-A8-A07F-01A-11R-A00Z-07",111.7088,149.1067,1.3353,57.6193,63.0609,0.1515,89.6525,19.1179,112.6591,74.2322,34.0952,28.9311,661.1665,31.6647,0.1912,14.2616,33.7712,30.0801,1.9737,1967.1054,65.2804,56.837,14.1937,23.867,265.0247,0.48471662288415
"TCGA-A8-A07G-01A-11R-A034-07",19.6766,53.9969,6.0945,23.0025,45.132,0.0283,52.088,45.26,115.5523,36.2078,27.2485,16.2749,866.1977,8.5778,0.1,5.688,9.4696,20.6501,2.5938,2068.4044,29.389,82.0966,7.7057,9.4221,78.1572,0.669876447627343
"TCGA-A8-A07I-01A-11R-A00Z-07",43.1918,381.2288,2.7509,31.5678,33.8302,0.0689,42.4263,26.0861,198.6959,58.4519,47.4084,26.8757,797.7047,5.9259,0.1462,33.725,47.2932,17.3443,6.2672,1335.494,117.6025,63.9945,10.468,6.287,105.5012,0.498822542662666
"TCGA-A8-A07P-01A-11R-A00Z-07",31.8027,196.5012,4.8128,30.5409,35.0541,0.0197,91.5334,27.5079,127.8092,50.1226,17.7097,10.7937,673.5188,3.4838,0.0696,45.9059,25.86,43.6994,1.717,1728.223,37.1328,137.723,12.2262,2.8516,202.9727,0.313332688151231
"TCGA-A8-A07R-01A-21R-A034-07",81.875,80.3568,65.7985,29.1534,5.9751,0.1012,232.6117,11.5457,129.1449,46.8777,31.558,23.4837,794.2881,6.9023,0.3777,64.497,166.4058,23.6382,1.6501,2247.5372,119.6301,126.6891,9.4622,4.7894,107.4067,0.54102023387922
"TCGA-A8-A07S-01A-11R-A034-07",72.1775,51.1852,1.065,31.3265,35.1953,0.2441,67.7975,6.6988,99.1447,33.7852,28.1209,16.308,785.6213,17.6542,0.0305,27.7592,26.7431,22.7772,2.3466,1150.3456,71.1884,91.3433,9.4688,14.0496,133.4236,0.285170489370625
"TCGA-A8-A07U-01A-11R-A034-07",22.4504,69.0703,44.3719,10.6101,16.4573,0.3084,35.772,38.6804,54.5043,34.7028,19.2011,22.5125,434.2182,11.0717,0.0303,26.7905,56.1207,13.9691,1.855,769.6409,65.3265,62.9813,11.1643,5.7535,81.2635,0.412561695538566
"TCGA-A8-A07W-01A-11R-A00Z-07",57.3909,191.3972,12.991,29.007,38.0767,0.1082,128.0348,20.3834,100.8771,53.6849,45.0809,33.8545,1060.2502,6.6932,0.3655,80.8344,64.5146,18.9316,4.4911,1476.7206,164.6432,131.693,15.3502,7.9442,251.3746,0.733555921158747
"TCGA-A8-A07Z-01A-11R-A00Z-07",53.7037,130.5628,8.7255,27.707,31.75,0.1049,91.895,10.2051,65.2446,41.951,24.1713,25.2013,772.4803,1.3196,0.1649,80.9217,19.6016,28.7442,0.5549,1386.9914,78.9452,218.6455,10.6372,3.5878,48.6427,0.367979612245556
"TCGA-A8-A081-01A-11R-A00Z-07",59.5895,47.4744,6.6334,29.1198,54.0655,0.05,86.4045,15.0824,148.2841,37.9699,32.0944,19.6899,640.7263,5.6634,0.0033,72.017,49.1,36.8362,3.7044,754.7753,86.8348,111.3874,18.2674,11.3449,228.928,0.719668376399239
"TCGA-A8-A083-01A-21R-A00Z-07",69.7326,107.4191,1.85,36.2081,37.5858,0.1214,49.4084,7.8646,91.8652,33.8655,34.5642,18.8216,672.497,1.2242,0.044,13.3799,2.9575,35.1713,2.5928,1248.2918,28.2752,83.6618,9.0415,10.0262,209.7039,0.400980676796026
"TCGA-A8-A084-01A-21R-A00Z-07",11.276,64.5103,3.7795,18.7953,45.5995,0.0237,56.1772,25.4149,95.6334,42.8804,26.4433,14.4028,823.9972,10.3785,0.2471,30.9751,29.5544,13.7868,2.8554,1029.8103,76.3857,77.9532,11.3104,6.6979,142.7296,0.516839252879125
"TCGA-A8-A08A-01A-11R-A32Y-07",75.5522,53.3603,6.1749,24.6377,30.8592,0.1361,76.1329,11.9017,86.7674,30.9309,29.8347,12.95,489.1789,2.8262,0.0206,10.8307,12.8353,15.1329,0.969,879.8644,29.2623,103.263,8.2245,4.4892,172.7936,0.435368882867189
"TCGA-A8-A08C-01A-11R-A00Z-07",108.739,37.3193,3.1313,34.8302,43.2426,0.1616,70.3086,15.0012,125.5475,53.5484,34.6518,15.4541,828.3525,2.7306,0.0227,5.1066,15.9914,20.394,1.1904,1143.0239,24.7373,102.3743,12.236,15.4856,198.7933,0.483023016924203
"TCGA-A8-A08H-01A-21R-A00Z-07",38.6425,126.4331,7.3613,21.7329,68.535,0,64.4735,11.3055,102.6908,48.6256,25.0155,17.9131,685.2673,14.3612,1.009,17.1626,43.2337,17.4054,29.3813,1136.8359,60.8933,100.0207,7.5286,14.8258,73.3475,0.290331946191813
"TCGA-A8-A08L-01A-11R-A00Z-07",14.8589,252.5629,28.0841,22.4754,9.7705,0.1732,121.8194,12.9773,121.2546,36.238,43.7073,33.4543,645.2891,3.4169,0.0107,72.6351,25.9981,24.8453,0.3856,850.3595,162.5924,77.638,6.2482,5.3197,109.4133,0.708668021549082
"TCGA-A8-A08P-01A-11R-A00Z-07",14.1906,72.111,2.4053,34.0891,37.383,0.1414,70.2777,10.1293,110.852,44.8816,20.4515,15.9674,812.0811,4.9971,0.0648,38.6015,40.4514,16.62,7.5997,1257.4913,73.0576,77.8718,13.2216,6.6544,139.5551,0.535145756539147
"TCGA-A8-A08S-01A-11R-A034-07",55.4166,390.2053,3.5183,33.1262,33.2914,0.0751,71.1334,11.2933,96.7392,48.371,20.9682,18.4028,953.8583,4.095,0.0369,37.2007,36.1324,32.8638,0.9678,1174.4411,74.7117,132.162,9.8712,6.336,318.6721,0.375883093003
"TCGA-A8-A08T-01A-21R-A00Z-07",94.4171,53.4557,5.6912,40.6656,37.7376,0.0296,49.0402,25.7661,127.1904,34.4562,28.7342,15.8846,557.1674,11.9241,0.0621,11.7855,20.1575,21.6869,8.7778,920.4568,38.4478,117.2726,10.9536,10.2717,202.4331,0.495596632149424
"TCGA-A8-A08Z-01A-21R-A00Z-07",66.262,125.0475,4.673,41.8967,58.8231,0.047,58.6549,26.9887,106.5949,49.5529,38.9397,16.3217,674.7785,14.4641,0.0923,12.3861,19.3387,21,40.2315,1366.8991,57.8027,70.3169,10.7173,19.821,95.0769,0.458369624826607
"TCGA-A8-A090-01A-11R-A00Z-07",29.6404,224.0522,5.304,51.6145,41.595,0.1289,68.9292,21.9415,136.4534,56.9481,32.5513,21.7488,1222.3694,5.2864,0.1744,62.7316,42.4607,75.2954,15.7173,2242.9219,77.3055,115.8142,13.269,18.162,127.4118,0.196521342033148
"TCGA-A8-A091-01A-11R-A00Z-07",41.3808,74.8448,5.366,34.9772,43.3398,0.4735,69.9404,23.9892,130.8632,35.1325,33.3465,17.0861,564.9534,3.7859,0.1046,28.6383,15.6505,19.1363,0.7042,1019.2998,99.2369,195.9893,11.2008,11.9198,435.4831,0.545582115552115
"TCGA-A8-A093-01A-11R-A00Z-07",39.5549,32.6794,8.3262,40.072,42.4217,0.0627,65.3077,38.5631,90.9874,40.0579,27.2406,17.2243,652.4176,4.5885,0.0534,14.7381,19.9187,18.8611,0.7458,1014.1313,41.3691,151.8336,8.7282,7.5201,199.0996,0.116181167134424
"TCGA-A8-A094-01A-11R-A00Z-07",9.4146,45.3295,5.4208,23.2443,43.1638,0.1164,73.2516,10.4562,201.2178,57.7412,28.5613,11.0394,879.8925,15.8484,0.0392,24.1089,35.5254,16.2238,11.1641,862.3598,55.8285,78.2675,15.1341,9.0914,88.3973,0.707329268686087
"TCGA-A8-A096-01A-11R-A00Z-07",74.7195,154.6853,12.7892,32.3876,65.5708,0.0867,50.4727,30.3102,125.3127,42.8833,33.2361,18.2608,728.3215,7.0633,0.1193,14.6365,29.5273,22.2158,12.6343,1355.4813,73.2349,70.1368,8.0048,21.3212,148.9933,0.535952772670086
"TCGA-A8-A097-01A-11R-A034-07",23.8301,129.0974,10.5496,19.2842,40.7183,0.0296,54.0198,30.6951,85.5201,42.3131,26.8457,24.7073,544.0312,10.9693,0.5143,35.144,33.3665,14.1313,2.1121,1020.7596,82.5613,60.0185,9.0539,8.5117,77.5203,0.488547398269745
"TCGA-A8-A099-01A-11R-A00Z-07",56.7899,67.464,1.966,61.2931,44.0771,0.0315,50.917,22.4477,159.0936,52.6548,20.5284,19.4752,652.0862,2.5165,0.0247,19.6214,14.3263,28.0974,0.0832,1325.4246,34.5091,57.8478,8.9619,8.3782,36.7491,0.687989935159199
"TCGA-A8-A09C-01A-11R-A00Z-07",84.0171,58.776,2.4585,33.4841,46.5529,0.1694,62.6962,13.5091,67.1857,40.2389,16.5082,21.402,577.517,3.7209,0.0245,21.5395,17.8012,28.4411,1.5555,770.8053,75.2548,55.9196,11.2453,6.2959,182.1331,0.366044065937611
"TCGA-A8-A09E-01A-11R-A00Z-07",66.3478,332.8086,14.6613,20.0826,51.8996,0.0232,62.2461,12.3675,86.4441,50.8001,17.5061,29.7931,797.4425,1.1172,0.0182,40.8929,33.7041,25.4591,0.6751,700.9264,77.1999,79.6259,7.7959,3.4361,75.8871,0.352092002967838
"TCGA-A8-A09G-01A-21R-A00Z-07",53.2176,62.9124,2.1757,35.6251,32.0662,1.3047,53.87,14.938,115.4444,38.3248,25.0782,12.0628,718.2631,5.6799,0.0032,35.7027,20.4533,23.166,0.8245,1555.4326,95.9408,33.6966,8.5844,13.9432,65.7376,0.671037472849189
"TCGA-A8-A09I-01A-22R-A034-07",59.521,88.3535,1.0821,27.5797,50.3487,0.1115,94.8078,7.4697,108.6373,48.5035,18.7669,26.529,726.35,4.3177,0.0991,75.9438,75.7064,20.2314,5.5707,1494.0784,144.1457,68.1698,14.2487,5.5454,148.142,0.549162876221814
"TCGA-A8-A09K-01A-11R-A00Z-07",40.2685,37.9721,4.919,31.1846,21.3597,0.0699,53.4037,11.6421,152.4166,31.6791,34.2085,17.5965,807.3314,3.1285,0.0046,44.1638,19.03,46.5251,0.7087,1134.6284,27.4403,122.2226,15.0131,8.2805,88.2749,0.373479789670635
"TCGA-A8-A09M-01A-11R-A00Z-07",33.4762,105.032,6.4579,19.4164,21.136,0.0877,55.9563,11.4536,96.1958,27.1834,15.6306,12.5296,616.7834,2.3088,0.0103,31.9773,24.1762,39.9544,0.928,805.9601,44.8236,68.14,10.2035,4.1147,139.0435,0.58325223059193
"TCGA-A8-A09Q-01A-11R-A00Z-07",16.5477,51.524,4.6832,23.8563,29.2333,0.008,74.8611,12.3359,94.7417,51.9338,25.5826,14.0419,353.9924,5.5222,0.0126,36.6691,42.2561,18.3426,1.9783,1596.3556,47.6553,48.7066,6.1738,12.0525,93.4199,0.535388238330269
"TCGA-A8-A09R-01A-11R-A00Z-07",45.2751,404.1686,7.8542,26.7429,55.2619,0.0906,71.1734,21.8869,104.4657,40.0324,39.4634,20.2676,961.1943,8.3024,0.2294,36.7329,25.873,26.0891,3.6998,1924.5521,47.2608,64.1288,12.6958,10.7372,136.0853,0.472837833478499
"TCGA-A8-A09T-01A-11R-A00Z-07",72.6676,200.1846,4.0658,36.3398,60.3488,0.0272,78.0377,12.3706,84.6205,32.5651,31.8041,14.9623,697.1951,3.885,0.0321,35.1721,23.6375,28.8131,16.7732,1676.2919,83.8512,166.9794,9.9829,7.7682,114.743,0.233518743150254
"TCGA-A8-A09W-01A-11R-A00Z-07",105.1437,153.332,5.2288,29.789,14.741,0.0234,94.6514,17.7139,71.9783,45.7722,15.9204,12.8718,574.5809,2.94,0.0322,40.6704,71.4748,20.6939,0.3096,1256.7964,141.2179,105.271,6.9229,6.3522,71.6549,0.659087052074549
"TCGA-A8-A09X-01A-11R-A00Z-07",53.8919,45.1862,6.4469,23.1591,28.5895,0.4161,120.3641,15.4118,107.4678,33.4493,15.2584,12.7848,725.7504,7.716,0.0039,42.2584,40.1925,17.4031,2.0434,1602.8585,94.66,83.1798,4.4526,6.102,71.965,1
"TCGA-A8-A09Z-01A-11R-A00Z-07",70.0418,192.4797,8.6465,79.2699,40.4138,0.0446,46.905,51.4435,108.7501,37.0576,27.325,13.2249,813.0761,2.626,0.0044,11.8498,18.7324,17.873,0.9432,1034.7107,56.0227,182.7514,4.3565,7.8515,93.7317,0.599947565866349
"TCGA-A8-A0A1-01A-11R-A00Z-07",55.0901,91.9689,4.7946,40.5009,46.7963,0.1891,56.2233,37.9413,123.5815,30.0615,33.9515,17.1995,694.0251,7.9674,0.0203,20.3954,19.6686,26.9077,4.4097,1298.1116,68.4748,89.8583,11.4011,10.8854,127.8198,0.490644859511597
"TCGA-A8-A0A2-01A-11R-A034-07",25.7736,52.9056,5.9879,39.9287,33.787,0.0157,44.2686,24.6499,106.6228,34.9984,21.4832,17.0623,616.5503,4.3271,0.0928,14.6443,12.2146,24.9909,0.2707,893.3503,35.2114,59.2365,12.4963,10.6086,109.4506,0.269040936804413
"TCGA-A8-A0A4-01A-11R-A00Z-07",39.5361,45.6925,1.6429,44.0164,43.5717,0.2412,75.1898,13.4795,129.4088,29.2232,35.5672,20.1986,948.7583,4.6662,0.0724,37.5589,25.3971,24.0687,1.6879,834.8228,132.9698,75.7212,12.5488,9.0489,219.4404,0.54679183199458
"TCGA-A8-A0A6-01A-12R-A056-07",30.1174,52.7509,6.7512,30.5518,53.6073,0.0142,39.9486,24.0498,76.1892,35.0214,21.013,14.2339,744.2865,10.4413,0.0445,8.847,10.002,17.1358,8.0841,786.5433,26.8945,44.6964,11.1242,11.1683,204.119,0.361721345849866
"TCGA-A8-A0A9-01A-11R-A00Z-07",75.9363,65.0661,5.0674,37.0574,38.5947,0.7266,66.1599,12.4214,93.2175,34.1562,34.1625,20.3589,622.328,3.0864,0.0659,35.8956,32.2884,60.7917,4.0146,898.3688,102.0329,92.2693,8.8417,6.7073,282.6484,0.480338075421788
"TCGA-A8-A0AD-01A-11R-A056-07",31.1776,101.9757,5.1368,30.7311,46.6256,0.1354,65.5887,16.1496,112.1068,31.7666,28.6638,13.9695,851.5331,4.6101,0.2446,16.6848,21.7283,24.3575,4.0449,1105.0792,40.6138,83.6418,8.0847,14.6189,249.7828,0.373689473853995
"TCGA-AC-A23C-01A-12R-A169-07",13.9272,52.4235,5.2526,22.6707,65.4888,0.1171,51.6595,39.7853,112.6478,37.3066,43.3447,27.3762,754.9638,6.2363,0.1117,18.155,18.9975,18.7654,2.7431,1404.4509,41.6639,42.2541,10.8758,13.8798,125.8439,0.582018774799187
"TCGA-AC-A23G-01A-11R-A213-07",66.9778,287.9714,18.1674,25.5417,29.4049,0.0215,65.8831,40.2588,78.6388,33.6704,18.4561,17.9773,636.8437,9.4206,0.2705,11.1299,12.6103,12.9789,8.2507,651.4051,31.561,101.9489,5.9157,7.1618,136.9379,0.46406335688248
"TCGA-AC-A23H-01A-11R-A157-07",87.5247,454.9808,6.4693,23.8341,38.712,0.0382,93.1521,40.3119,199.674,48.106,38.6526,25.573,953.4648,7.1851,0.1237,27.0638,54.8349,41.3598,7.7946,1779.5393,113.5178,62.6519,12.4838,7.7562,38.5335,0.896996677312171
"TCGA-AC-A2B8-01A-11R-A17B-07",66.367,100.1344,5.4553,39.2362,50.3325,0.0842,67.2905,27.4146,125.9237,48.0211,36.514,15.2329,623.1388,7.0122,0.1191,9.0281,12.4669,17.7399,16.3923,803.3611,55.756,103.6222,10.5723,14.9276,226.2603,0.373721732959128
"TCGA-AC-A2BK-01A-11R-A21T-07",114.32,126.9467,186.5474,59.4248,6.762,3.2952,189.0834,62.9618,92.2037,90.4053,28.8811,23.7519,385.712,34.6589,12.3208,55.042,55.9997,18.5188,5.9547,843.8876,117.0692,45.9589,16.353,10.2881,157.6613,0.418293996580119
"TCGA-AC-A2FB-01A-11R-A17B-07",39.4528,120.9675,2.4516,29.4772,48.9354,0.0366,45.9833,9.8222,117.7182,40.1851,34.2505,17.2704,725.0757,12.9333,0.0215,12.4126,12.0325,17.9798,1.571,1018.7394,35.0052,76.3296,8.0466,10.7068,233.2392,0.662134262395561
"TCGA-AC-A2FE-01A-11R-A19W-07",77.4809,181.334,6.4338,23.5471,43.083,0.0486,59.5291,21.2519,94.0561,32.2052,16.1373,16.6319,445.9262,8.7479,0.0688,15.6508,19.4492,16.227,10.4692,1020.4412,35.8273,70.2138,7.8719,8.0963,142.6919,0.325220168392529
"TCGA-AC-A2FG-01A-11R-A17B-07",67.7089,65.2857,3.5522,40.4629,36.9716,0.0741,60.0025,16.0314,95.7303,40.789,25.511,19.0247,725.9057,4.3669,0.0162,11.1126,6.3174,26.7721,2.9403,561.1025,19.2616,109.0132,10.3244,6.7009,61.6547,0.206716345688571
"TCGA-AC-A2FM-01A-11R-A19W-07",80.3153,178.0647,7.7248,39.3651,54.1052,0.0454,79.7025,23.297,71.6476,39.7839,20.2194,22.4986,717.4063,2.0297,0.0045,45.125,25.8488,26.8344,1.8291,1377.8676,60.8182,109.0977,17.7521,4.1652,174.4552,0.226055679215458
"TCGA-AC-A2FO-01A-11R-A180-07",45.1888,146.9922,4.6803,36.2033,42.1773,0.2792,54.2499,31.2005,101.1449,43.5039,27.0167,19.4376,531.1243,4.8397,0.1005,13.0837,9.7749,21.6336,2.2764,891.7284,28.153,116.6881,7.1332,9.1475,227.5167,0.370963579470305
"TCGA-AC-A2QI-01A-12R-A19W-07",44.7083,181.3851,14.2737,34.122,53.0681,0.0115,82.3044,32.0356,108.9178,42.3346,29.1138,19.0686,912.5863,6.1061,0.4475,9.7502,6.1481,15.7799,0.7302,1065.5759,27.0023,118.5171,12.3507,6.7478,64.486,0.411013258492209
"TCGA-AC-A3EH-01A-22R-A22K-07",47.0242,162.3657,7.468,14.503,42.1142,0.1272,84.3389,7.9193,101.9688,37.5489,20.8255,14.7706,520.3322,11.195,0.2613,14.6606,10.01,11.7604,0.8535,920.0223,34.7494,91.5455,8.872,4.8709,140.3397,0.411529404174328
"TCGA-AC-A3HN-01A-11R-A213-07",52.7005,123.5919,7.3939,29.9904,42.7371,0.12,56.6564,26.2511,108.0159,40.1054,29.1623,18.9619,560.6599,7.746,0.1718,21.074,19.9275,17.0693,2.72,684.1848,42.4674,82.2893,9.9176,10.4244,179.9544,0.143569147391851
"TCGA-AC-A3OD-01B-06R-A22O-07",9.4787,9.5422,4.8334,10.7017,13.871,0.0891,8.2852,4.1933,52.7374,15.5162,13.1485,9.1561,125.5728,4.913,0.224,2.9412,7.8313,19.4307,1.0837,302.8787,20.0356,12.651,7.5549,13.009,22.5379,0.341881996193426
"TCGA-AC-A3QP-01A-11R-A22U-07",45.9969,81.5785,8.2533,11.5268,24.7445,0.1435,59.5033,19.0978,37.0805,20.6077,12.666,11.5802,492.022,5.552,0.0458,7.7952,4.5011,8.803,2.2761,858.4237,13.151,131.4063,7.9552,3.2755,142.4948,0.00619374818542534
"TCGA-AC-A3TN-01A-11R-A22K-07",27.4614,50.5421,12.7072,9.275,13.3598,0.0475,41.1907,13.6648,34.3816,17.7737,12.3107,13.4684,469.4518,1.2234,0.1233,19.1893,4.7934,14.818,1.8353,601.2124,15.8818,91.1035,7.7186,2.9933,180.023,0.0605664698861254
"TCGA-AC-A3W5-01A-11R-A22K-07",19.2259,95.0479,10.7121,17.936,22.8084,0.2846,54.2262,31.2435,76.9542,32.3973,18.0824,13.9316,546.7664,11.5417,0.0497,35.882,26.5876,12.2207,12.7072,555.6729,68.3013,91.4559,5.7398,6.138,67.2827,0.747217652182328
"TCGA-AC-A3W6-01A-12R-A22K-07",50.7409,117.5553,7.5136,22.4162,20.8123,0.1915,61.8965,27.295,70.2767,29.7859,16.9858,14.7007,611.1136,5.7599,0.0564,27.7869,15.5984,12.423,2.4682,855.1247,53.3374,86.2984,8.2349,6.946,127.3368,0.626487951224233
"TCGA-AC-A3W7-01A-11R-A22K-07",50.6629,157.035,11.8878,32.7264,34.6942,0.1787,61.341,30.9509,61.3352,37.5932,26.9999,15.2788,514.9104,7.7534,0.2768,15.3121,14.155,17.3417,2.913,678.7667,36.9887,124.5629,7.0005,9.1727,149.7475,0.276976676666989
"TCGA-AC-A3YI-01A-21R-A239-07",54.516,359.2346,3.1263,24.5939,20.2836,0.0134,54.9571,9.9823,92.2938,27.2053,20.0561,21.7125,619.908,7.1735,0.4425,9.1187,4.7664,10.9735,32.9017,804.2362,27.4659,57.2921,9.6079,4.372,82.9415,0.358301880705829
"TCGA-AC-A3YJ-01A-11R-A22U-07",53.3732,69.1169,3.5779,18.8481,28.6042,0.0537,56.0939,3.5942,43.8864,18.6649,14.0536,19.6249,572.6991,0.967,0.0632,12.8151,9.5096,13.3427,0.745,947.5254,16.0478,97.0523,8.0586,4.2103,165.425,0.493934678180433
"TCGA-AC-A4ZE-01A-11R-A41B-07",18.7589,47.3434,3.2301,37.0494,33.482,0.3319,57.4379,53.222,92.1084,47.2843,16.7369,16.8852,635.3771,2.3613,0.0126,39.6056,18.6583,24.1675,0.8775,331.4784,57.2551,112.7821,16.0937,5.5795,354.9683,0.25589535146295
"TCGA-AC-A5EH-01A-11R-A28M-07",62.3677,129.2992,8.5325,26.6709,44.2935,0.0131,95.2702,10.7131,100.0073,30.5546,22.8879,13.9169,1547.8269,4.5479,0.1803,64.991,19.3796,11.58,17.7869,1167.6559,54.9381,178.643,9.2095,6.1627,217.3072,0.569275949027224
"TCGA-AC-A5XS-01A-11R-A29R-07",71.6706,183.4446,6.2911,17.0334,31.5083,0.0481,59.0041,15.3914,39.7855,34.0285,8.2956,13.9629,560.4534,6.2471,0.0236,27.6284,5.7824,15.5145,3.3098,789.7563,52.2703,117.8283,8.028,4.5289,106.8428,0.386883447853157
"TCGA-AC-A5XU-01A-11R-A28M-07",125.6506,179.3447,22.7922,31.9299,37.6336,0.0114,78.4565,30.0467,59.2735,36.2743,17.3954,21.5128,455.5238,3.349,0.0495,25.3114,41.2213,10.111,0.5749,1204.042,86.0615,99.823,12.7214,4.8635,214.3138,0.357382496209555
"TCGA-AC-A62X-01A-11R-A29R-07",83.6464,159.3173,331.5122,34.7064,6.8478,0.1429,130.6896,23.0163,83.8877,54.5558,8.1315,11.8741,847.1033,1.1808,0.0234,70.8085,42.9428,10.5835,7.084,831.0992,75.2867,72.8957,10.2868,2.0468,206.1228,0.464111745540179
"TCGA-AC-A62Y-01A-11R-A29R-07",27.5058,244.3387,3.7733,22.7758,33.7104,0.0675,41.9745,15.3591,49.4981,30.1698,13.2961,28.1958,796.1522,13.3115,0.0442,29.4526,9.9417,14.0967,6.1009,517.7481,41.0661,58.6246,8.0843,6.9151,242.1676,0.65683537715649
"TCGA-AC-A6IW-01A-12R-A33J-07",139.9433,50.3441,63.8059,14.2714,40.3079,0.2591,117.3736,24.803,52.978,27.5134,16.1522,17.5499,454.4227,15.9853,0.0254,43.5454,43.6554,10.4852,1.6911,925.9907,69.7753,51.7298,10.7752,5.431,79.2268,0.365350495177264
"TCGA-AC-A8OP-01A-11R-A36F-07",31.8846,62.4009,14.4641,23.2955,18.5904,0.0603,56.965,35.076,75.4962,35.314,17.16,14.2484,634.1144,9.8604,0.1657,16.8111,18.1117,23.6452,2.5894,748.8242,24.8951,70.4518,11.4837,6.1208,237.228,0.0345495015968257
"TCGA-AC-A8OQ-01A-11R-A41B-07",15.2546,59.6658,43.64,10.2241,17.8627,1.4013,48.6896,10.6143,43.5675,32.2472,14.2233,13.8857,508.174,24.029,0.1376,47.5643,20.0413,5.9887,1.5952,714.146,35.361,27.1163,4.5449,8.2614,53.9699,0.300316139230298
"TCGA-AC-A8OR-01A-21R-A41B-07",82.0012,220.0756,3.283,24.6928,32.8173,0.1851,75.8766,6.0285,74.6486,32.4643,23.8399,26.3348,674.3759,1.4736,0.0198,14.854,10.6969,15.123,10.4584,971.7429,21.8049,138.2908,11.3641,8.0531,225.6274,0.383786677102944
"TCGA-AC-A8OS-01A-12R-A41B-07",25.3606,59.2847,3.7791,20.5451,30.1922,0.1102,38.911,17.8628,71.9054,31.2374,25.0323,12.1957,506.5347,14.8376,0.0736,7.4955,7.5748,21.7087,1.1366,576.9232,19.3979,73.4868,8.2492,9.9854,107.8382,0.25508887383464
"TCGA-AN-A03X-01A-21R-A00Z-07",31.7002,229.5162,17.5616,21.4645,23.4606,0,47.8133,20.6092,88.4402,28.4924,8.8744,10.1889,522.0478,5.7052,0.1624,11.9294,13.4926,19.9646,0.8826,901.1365,15.749,154.5601,4.8286,3.9398,127.9691,0.719752946167797
